key,term,df,sumsq,meansq,statistic,p.value
Number_GSM,Time_in_bath,1,820.9604860585504,820.9604860585504,2.8157159913292213,0.09780493779329918
Number_GSM,Sampling_time,2,3326.04467091647,1663.022335458235,5.703805071506768,0.005071730971580715
Number_GSM,Acetic_acid,2,349.0985045592862,174.5492522796431,0.5986659885154296,0.5523332946933077
Number_GSM,Time_in_bath:Sampling_time,2,289.06874665713644,144.53437332856822,0.4957214789128993,0.6112533789490429
Number_GSM,Time_in_bath:Acetic_acid,2,38.56113398050388,19.28056699025194,0.06612815320380094,0.9360693051210782
Number_GSM,Sampling_time:Acetic_acid,4,762.2661526932739,190.56653817331846,0.653601796991475,0.6262802212282048
Number_GSM,Time_in_bath:Sampling_time:Acetic_acid,4,2460.516319636531,615.1290799091328,2.1097590157442103,0.08869842857984074
Number_GSM,Residuals,70,20409.456849009064,291.56366927155807,,
Weight_GSM,Time_in_bath,1,0.34688014640053805,0.34688014640053805,0.04452715542333546,0.8334889883250324
Weight_GSM,Sampling_time,2,764.7383134522314,382.3691567261157,49.08269051228428,4.7604778979056644e-14
Weight_GSM,Acetic_acid,2,2.879181737046676,1.439590868523338,0.1847926063624774,0.8316808681050819
Weight_GSM,Time_in_bath:Sampling_time,2,15.01811489146408,7.50905744573204,0.9638976788910463,0.3864071766973563
Weight_GSM,Time_in_bath:Acetic_acid,2,3.2033758661583263,1.6016879330791631,0.20560014251592867,0.8146484409207498
Weight_GSM,Sampling_time:Acetic_acid,4,22.99882548794713,5.7497063719867825,0.7380591593973123,0.569174859597644
Weight_GSM,Time_in_bath:Sampling_time:Acetic_acid,4,36.5116308279285,9.127907706982125,1.1717008579941728,0.3307880139472212
Weight_GSM,Residuals,70,545.321389098041,7.790305558543443,,
Number_BM_4mm,Time_in_bath,1,195521.63636363542,195521.63636363542,2.946329171483276,0.09049530903575904
Number_BM_4mm,Sampling_time,2,2886857.175108223,1443428.5875541116,21.751126031668953,4.5006438370764916e-8
Number_BM_4mm,Acetic_acid,2,390011.6742857144,195005.8371428572,2.938556557060283,0.059504996756721044
Number_BM_4mm,Time_in_bath:Sampling_time,2,496386.5660173163,248193.28300865815,3.740041887408319,0.02862717834358167
Number_BM_4mm,Time_in_bath:Acetic_acid,2,59344.287619047456,29672.143809523728,0.44713160401263097,0.6412732647964702
