key,term,sumsq,df,statistic,p.value
Number_GSM,Treated,301.3389546499966,1,4.1846095831942955,0.043200247695383165
Number_GSM,Sampling_time,1631.6176524507655,2,11.328908458723443,3.387674978069156e-5
Number_GSM,Treated:Sampling_time,593.0591092983314,2,4.117822793692529,0.01887954894788819
Number_GSM,Residuals,7849.225932273682,109,,
Weight_GSM,Treated,13.731616574709165,1,2.617033763854518,0.10861221885953105
Weight_GSM,Sampling_time,1098.947660121069,2,104.7212145634306,4.2126808163516814e-26
Weight_GSM,Treated:Sampling_time,68.56663709780344,2,6.533870334298637,0.0020892708309096343
Weight_GSM,Residuals,571.9246833249889,109,,
Number_BM,Treated,195.7988863381435,1,84.46232962568692,3.223776980283847e-15
Number_BM,Sampling_time,97.60844776867864,2,21.052818644361526,1.9030256906894944e-8
Number_BM,Treated:Sampling_time,60.662004394560455,2,13.083971790523142,8.162995887083168e-6
Number_BM,Residuals,250.36344389544794,108,,
Weight_BM_4mm,Treated,2.240412666229531,1,2.9020679062112444e-4,0.9864394727976789
Weight_BM_4mm,Sampling_time,331301.540868429,2,21.457198120796974,1.3886805315359753e-8
Weight_BM_4mm,Treated:Sampling_time,335.89342161943205,2,0.02175459756772703,0.9784845743441926
Weight_BM_4mm,Residuals,841486.10064,109,,
Weight_fouling,Treated,7.947880223306129,1,0.01036945212604522,0.9190817941673969
Weight_fouling,Sampling_time,387655.9820765403,2,252.88379005324242,2.8294881729082106e-41
Weight_fouling,Treated:Sampling_time,14579.970040074782,2,9.51110843910272,1.5780161681327624e-4
Weight_fouling,Residuals,82012.35451559932,107,,
