key,contrast,estimate,SE,df,t.ratio,p.value
Number_GSM,"30 sec,48 h,Control - 30 sec,48 h,1 %",3.994603651,5.285775555,91,0.755727066,0.451764634
Number_GSM,"30 sec,48 h,Control - 30 sec,48 h,2 %",-0.638921482,5.285775555,91,-0.120875636,0.904056038
Number_GSM,"30 sec,48 h,Control - 30 sec,48 h,4 %",5.957833984,5.285775555,91,1.127144715,0.262644646
Number_GSM,"60 sec,48 h,Control - 60 sec,48 h,1 %",9.545032958,5.285775555,91,1.805796114,0.074256544
Number_GSM,"60 sec,48 h,Control - 60 sec,48 h,2 %",2.708134721,5.285775555,91,0.512343873,0.609651663
Number_GSM,"60 sec,48 h,Control - 60 sec,48 h,4 %",-4.366394659,5.285775555,91,-0.82606509,0.410927721
Number_GSM,"30 sec,1 mo,Control - 30 sec,1 mo,1 %",-5.774145869,5.285775555,91,-1.092393313,0.277543865
Number_GSM,"30 sec,1 mo,Control - 30 sec,1 mo,2 %",-4.098221344,5.285775555,91,-0.775330186,0.440154752
Number_GSM,"30 sec,1 mo,Control - 30 sec,1 mo,4 %",-10.79047018,5.285775555,91,-2.041416641,0.044105153
Number_GSM,"60 sec,1 mo,Control - 60 sec,1 mo,1 %",-16.46039198,5.285775555,91,-3.114092116,0.002467156
Number_GSM,"60 sec,1 mo,Control - 60 sec,1 mo,2 %",-13.23301554,5.285775555,91,-2.503514461,0.014079522
Number_GSM,"60 sec,1 mo,Control - 60 sec,1 mo,4 %",-7.3878493,5.285775555,91,-1.397685018,0.165605709
Number_GSM,"30 sec,3 mo,Control - 30 sec,3 mo,2 %",-4.098646499,5.606411608,91,-0.731064143,0.466618219
Number_GSM,"30 sec,3 mo,Control - 30 sec,3 mo,4 %",-5.239804204,5.909676727,91,-0.886648195,0.37760557
Number_GSM,"60 sec,3 mo,Control - 60 sec,3 mo,1 %",-4.966326758,5.606411608,91,-0.885829851,0.378044098
Number_GSM,"60 sec,3 mo,Control - 60 sec,3 mo,2 %",-9.341759428,5.909676727,91,-1.58075642,0.117403475
Number_GSM,"60 sec,3 mo,Control - 60 sec,3 mo,4 %",-6.814147486,5.909676727,91,-1.153049109,0.251909972
,,,,,,
Weight_GSM,"30 sec,48 h,Control - 30 sec,48 h,1 %",0.777174314,1.465448482,91,0.530332061,0.59717348
Weight_GSM,"30 sec,48 h,Control - 30 sec,48 h,2 %",0.326925794,1.465448482,91,0.223089244,0.823966057
Weight_GSM,"30 sec,48 h,Control - 30 sec,48 h,4 %",1.730041584,1.465448482,91,1.180554353,0.240856397
Weight_GSM,"60 sec,48 h,Control - 60 sec,48 h,1 %",2.297610773,1.465448482,91,1.56785503,0.120385871
Weight_GSM,"60 sec,48 h,Control - 60 sec,48 h,2 %",0.335065282,1.465448482,91,0.228643508,0.819659041
Weight_GSM,"60 sec,48 h,Control - 60 sec,48 h,4 %",-1.0286322,1.465448482,91,-0.70192314,0.484518526
Weight_GSM,"30 sec,1 mo,Control - 30 sec,1 mo,1 %",-4.324287895,1.465448482,91,-2.950829011,0.00402968
Weight_GSM,"30 sec,1 mo,Control - 30 sec,1 mo,2 %",-3.087339034,1.465448482,91,-2.106753716,0.037890805
Weight_GSM,"30 sec,1 mo,Control - 30 sec,1 mo,4 %",-4.159371653,1.465448482,91,-2.838292648,0.005592694
Weight_GSM,"60 sec,1 mo,Control - 60 sec,1 mo,1 %",-3.701867187,1.465448482,91,-2.526098483,0.013262323
Weight_GSM,"60 sec,1 mo,Control - 60 sec,1 mo,2 %",-2.331101341,1.465448482,91,-1.590708489,0.115143389
Weight_GSM,"60 sec,1 mo,Control - 60 sec,1 mo,4 %",-1.720802406,1.465448482,91,-1.174249676,0.243358879
Weight_GSM,"30 sec,3 mo,Control - 30 sec,3 mo,1 %",1.564753606,1.554342839,91,1.006697858,0.316749361
Weight_GSM,"30 sec,3 mo,Control - 30 sec,3 mo,2 %",0.452064472,1.554342839,91,0.290839614,0.771835813
Weight_GSM,"30 sec,3 mo,Control - 30 sec,3 mo,4 %",0.072657999,1.638421212,91,0.044346349,0.964725493
Weight_GSM,"60 sec,3 mo,Control - 60 sec,3 mo,1 %",0.028598046,1.554342839,91,0.018398802,0.985360989
Weight_GSM,"60 sec,3 mo,Control - 60 sec,3 mo,2 %",-0.828104423,1.638421212,91,-0.505428285,0.614480079
Weight_GSM,"60 sec,3 mo,Control - 60 sec,3 mo,4 %",-0.150999979,1.638421212,91,-0.09216188,0.926772011
,,,,,,
Number_BM,"30 sec,48 h,Control - 30 sec,48 h,1 %",-1.007324394,0.917803018,90,-1.097538769,0.275333716
Number_BM,"30 sec,48 h,Control - 30 sec,48 h,2 %",-1.439444334,0.917803018,90,-1.568358685,0.120306817
Number_BM,"30 sec,48 h,Control - 30 sec,48 h,4 %",-1.439286235,0.917803018,90,-1.568186427,0.12034701
Number_BM,"60 sec,48 h,Control - 60 sec,48 h,1 %",-1.041684367,0.917803018,90,-1.134975967,0.259399087
Number_BM,"60 sec,48 h,Control - 60 sec,48 h,2 %",-1.421316384,0.917803018,90,-1.548607225,0.124985564
Number_BM,"60 sec,48 h,Control - 60 sec,48 h,4 %",-1.459648995,0.917803018,90,-1.590372844,0.115257515
Number_BM,"30 sec,1 mo,Control - 30 sec,1 mo,1 %",-4.312801566,0.917803018,90,-4.699049234,9.35E-06
Number_BM,"30 sec,1 mo,Control - 30 sec,1 mo,2 %",-5.873200083,0.917803018,90,-6.399194566,6.88E-09
Number_BM,"30 sec,1 mo,Control - 30 sec,1 mo,4 %",-5.769361062,0.917803018,90,-6.286055887,1.14E-08
Number_BM,"60 sec,1 mo,Control - 60 sec,1 mo,1 %",-4.424940596,0.917803018,90,-4.821231257,5.77E-06
Number_BM,"60 sec,1 mo,Control - 60 sec,1 mo,2 %",-5.48857694,0.917803018,90,-5.980125185,4.43E-08
Number_BM,"60 sec,1 mo,Control - 60 sec,1 mo,4 %",-5.549596997,0.917803018,90,-6.046610102,3.31E-08
Number_BM,"30 sec,3 mo,Control - 30 sec,3 mo,1 %",0.386396373,0.973477106,90,0.396923945,0.692363224
Number_BM,"30 sec,3 mo,Control - 30 sec,3 mo,2 %",-2.457187001,0.973477106,90,-2.524134348,0.013351437
Number_BM,"30 sec,3 mo,Control - 30 sec,3 mo,4 %",-2.782703736,1.026134969,90,-2.711830141,0.008015137
Number_BM,"60 sec,3 mo,Control - 60 sec,3 mo,1 %",-2.257615596,0.973477106,90,-2.319125516,0.02265236
Number_BM,"60 sec,3 mo,Control - 60 sec,3 mo,2 %",-4.465847437,1.026134969,90,-4.352105302,3.55E-05
