key,contrast,estimate,SE,df,t.ratio,p.value
Number_GSM,1 % - 2 %,-3.209064068424354,4.408806862569197,70,-0.7278758558623495,0.7478482746867936
Number_GSM,1 % - 4 %,-4.891485413367975,4.499719661573051,70,-1.0870644798476106,0.5252229200458576
Number_GSM,2 % - 4 %,-1.682421344943621,4.499719661573053,70,-0.3738947026658689,0.9259211050132953
Weight_GSM,1 % - 2 %,0.1561560467439389,0.7206619900500487,70,0.2166841721915903,0.9744580518688541
Weight_GSM,1 % - 4 %,-0.3165147186392997,0.7355225636005445,70,-0.4303263207723916,0.9031143347508034
Weight_GSM,2 % - 4 %,-0.4726707653832386,0.7355225636005448,70,-0.6426325836550971,0.7971217184080671
Number_BM_4mm,1 % - 2 %,-157.36666666666645,66.51370642850351,70,-2.365928394560631,0.05350266959041394
Number_BM_4mm,1 % - 4 %,-113.83333333333327,67.88526735462949,70,-1.6768488623411206,0.22123970271392246
Number_BM_4mm,2 % - 4 %,43.533333333333175,67.88526735462953,70,0.6412780715131757,0.7978800984325937
Weight_BM_4mm,1 % - 2 %,-17.9,21.440738926498913,70,-0.8348592863969411,0.6827598410531397
Weight_BM_4mm,1 % - 4 %,-54.10833333333336,21.88286253256294,70,-2.4726350701521382,0.04143316781550965
Weight_BM_4mm,2 % - 4 %,-36.208333333333364,21.88286253256293,70,-1.654643366673502,0.22996213331335214
Number_BM_2mm,1 % - 2 %,-136.16666666666652,57.170116652804246,70,-2.3817804587248017,0.051538413748595246
Number_BM_2mm,1 % - 4 %,-137.89166666666657,58.349005972817366,70,-2.363222206919946,0.05384431271423906
Number_BM_2mm,2 % - 4 %,-1.7250000000000472,58.3490059728174,70,-0.029563485636818893,0.9995182590270055
Number_BM_1mm,1 % - 2 %,-1.420952826132452,0.34807681157431014,69,-4.082296719812075,3.4432842315290646e-4
Number_BM_1mm,1 % - 4 %,-1.1217233804866378,0.36112677970735046,69,-3.1061761229550986,0.0076532823235095915
Number_BM_1mm,2 % - 4 %,0.29922944564581416,0.3611267797073502,69,0.828599435046893,0.6866571251285818
Weight_fouling,1 % - 2 %,-14.166666666666687,7.774179982231897,69,-1.8222715063254253,0.16991860337416287
Weight_fouling,1 % - 4 %,-23.633333333333344,8.013441304826154,69,-2.949211510303319,0.011947275776206578
Weight_fouling,2 % - 4 %,-9.466666666666656,8.013441304826152,69,-1.1813484752131758,0.46823860533898054
