key,contrast,estimate,SE,df,t.ratio,p.value
Number_GSM,1 % - 2 %,-2.590043239153909,2.34892300470242,69,-1.102651399798452,0.5157051393582279
Number_GSM,1 % - 4 %,-2.5797769516765428,2.372770550157366,69,-1.0872424860066845,0.5251583737102978
Number_GSM,2 % - 4 %,0.010266287477366333,2.396380788891448,69,0.004284080194999168,0.9999898813246935
Weight_GSM,1 % - 2 %,-0.295745151077457,0.6267656815975962,69,-0.47185919676332083,0.8847260094907662
Weight_GSM,1 % - 4 %,-0.3165147186393034,0.6331289481038106,69,-0.499921413461269,0.8715862721135543
Weight_GSM,2 % - 4 %,-0.02076956756184639,0.6394288937994438,69,-0.032481434234907666,0.999418499368985
Number_BM,1 % - 2 %,-1.4146003386632735,0.3414762519923635,68,-4.142602393020609,2.832734830264805e-4
Number_BM,1 % - 4 %,-1.4295128134334116,0.35064503006036035,68,-4.076808997370743,3.5515515492146044e-4
Number_BM,2 % - 4 %,-0.014912474770138195,0.3540221066794568,68,-0.04212300443610556,0.999022247111994
Weight_BM_4mm,1 % - 2 %,-23.850000000000033,21.235413080978866,69,-1.1231239019957244,0.5032186764899784
Weight_BM_4mm,1 % - 4 %,-54.10833333333335,21.45100655836803,69,-2.5224146562122844,0.036741530144163814
Weight_BM_4mm,2 % - 4 %,-30.25833333333332,21.664454666907552,69,-1.3966810519146329,0.3482339663987417
Weight_fouling,1 % - 2 %,-13.683333333333342,7.90164338206015,68,-1.7317072755270013,0.20089925944279874
Weight_fouling,1 % - 4 %,-23.633333333333336,8.06128866869312,68,-2.9317066172206343,0.012590958758186055
Weight_fouling,2 % - 4 %,-9.949999999999992,8.139937249842456,68,-1.2223681454292008,0.4442082625250222
