key,contrast,estimate,SE,df,t.ratio,p.value
Number_GSM,48 h - 1 mo,2.978379368035557,2.324830849835389,69,1.2811165888677203,0.4105700175345297
Number_GSM,48 h - 3 mo,6.946511726821074,2.3963807888914435,69,2.898751216426878,0.013737539045562297
Number_GSM,1 mo - 3 mo,3.968132358785516,2.3963807888914435,69,1.6558855659250877,0.22956916847813558
Weight_GSM,48 h - 1 mo,-3.3941415811765943,0.6203371456957557,69,-5.4714466233838115,2.002094569464319e-6
Weight_GSM,48 h - 3 mo,-7.765923259834126,0.6394288937994427,69,-12.145092808818102,0
Weight_GSM,1 mo - 3 mo,-4.371781678657531,0.6394288937994435,69,-6.837009902196785,7.799780377126808e-9
Number_BM,48 h - 1 mo,-3.1687058409708664,0.3379738388736954,68,-9.37559502099524,0
Number_BM,48 h - 3 mo,-1.8371766578407593,0.3540221066794567,68,-5.189440498709307,6.1559180342118935e-6
Number_BM,1 mo - 3 mo,1.3315291831301068,0.3540221066794568,68,3.7611469962120667,0.0010212012249584124
Weight_BM_4mm,48 h - 1 mo,-3.933333333333314,21.017608214838912,69,-0.1871446690378542,0.9808827061696981
Weight_BM_4mm,48 h - 3 mo,-125.02499999999996,21.664454666907545,69,-5.7709737873520375,6.11156385055267e-7
Weight_BM_4mm,1 mo - 3 mo,-121.09166666666664,21.664454666907563,69,-5.589416790242778,1.2577654300294228e-6
Weight_fouling,48 h - 1 mo,-37.74999999999994,7.9016433820601435,68,-4.777487185223694,2.910857427884661e-5
Weight_fouling,48 h - 3 mo,-134.11666666666656,8.139937249842445,68,-16.476375990399987,0
Weight_fouling,1 mo - 3 mo,-96.36666666666662,8.061288668693107,68,-11.95425081859642,0
