key,term,df,sumsq,meansq,statistic,p.value
GSM (no. ind.),Treatment,8,19.739266070913875,2.4674082588642343,1.343719006923094,0.23302704151890208
GSM (no. ind.),Sampling_time,1,250.69859132024712,250.69859132024712,136.52724917153515,1.614889728713939e-19
GSM (no. ind.),Treatment:Sampling_time,8,26.227972194907125,3.2784965243633906,1.7854273114681951,0.09074509075747274
GSM (no. ind.),Residuals,87,159.75402402972367,1.8362531497669388,NA,NA
GSM biomass (g),Treatment,8,1.932617744646135,0.24157721808076688,2.040094498063869,0.05076829004511373
GSM biomass (g),Sampling_time,1,177.8505897048996,177.8505897048996,1501.9297449359403,1.158540084931749e-56
GSM biomass (g),Treatment:Sampling_time,8,1.1940537291654398,0.14925671614567998,1.2604574546680936,0.2747163648097061
GSM biomass (g),Residuals,87,10.302080610958413,0.11841471966618865,NA,NA
Fouling biomass (g),Treatment,8,5.502282614102401,0.6877853267628001,1.1057097166859033,0.3673670956694404
Fouling biomass (g),Sampling_time,1,122.60667187976897,122.60667187976897,197.10712507644791,4.47516452576648e-24
Fouling biomass (g),Treatment:Sampling_time,8,2.9890805956118034,0.3736350744514754,0.6006698838141048,0.7749088834893949
Fouling biomass (g),Residuals,87,54.11666599775525,0.6220306436523592,NA,NA
