key,contrast,estimate,SE,df,t.ratio,p.value
GSM (no. ind.),Control - 10 | 35,0.38639214513994835,0.5017251342781246,87,0.7701271448078522,0.4433106532326724
GSM (no. ind.),Control - 10 | 50,1.192581021771879,0.5017251342781239,87,2.3769608901251287,0.01964852942477999
GSM (no. ind.),Control - 20 | 25,-0.5972638002628367,0.5241004433679556,87,-1.139597967948131,0.25758171091861004
GSM (no. ind.),Control - 20 | 40,0.3570752449797501,0.501725134278124,87,0.7116949512475701,0.47855772978274325
GSM (no. ind.),Control - 30 | 15,0.5959247402537717,0.5017251342781249,87,1.1877514191334662,0.23816395737405455
GSM (no. ind.),Control - 30 | 30,-0.322303323297381,0.5017251342781243,87,-0.6423902277909734,0.5223090889295611
GSM (no. ind.),Control - 45 | 0,0.3016313362687949,0.5241004433679572,87,0.575522001718719,0.5664239487325875
GSM (no. ind.),Control - 60 | 0,-0.015448467365110186,0.5017251342781242,87,-0.0307906985511843,0.975506984873792
GSM (no. ind.),10 | 35 - 10 | 50,0.8061888766319307,0.6060120707984187,87,1.3303181825566277,0.18689016788499277
GSM (no. ind.),10 | 35 - 20 | 25,-0.983655945402785,0.6246629445752918,87,-1.5746987298431356,0.11895566700102038
GSM (no. ind.),10 | 35 - 20 | 40,-0.029316900160198306,0.6060120707984188,87,-0.0483767594291866,0.961526865250776
GSM (no. ind.),10 | 35 - 30 | 15,0.20953259511382336,0.6060120707984191,87,0.345756471216431,0.730360419794309
GSM (no. ind.),10 | 35 - 30 | 30,-0.7086954684373294,0.6060120707984188,87,-1.1694411754928011,0.24541991712897634
GSM (no. ind.),10 | 35 - 45 | 0,-0.0847608088711535,0.6246629445752927,87,-0.13569047052852196,0.8923794502231124
GSM (no. ind.),10 | 35 - 60 | 0,-0.40184061250505854,0.6060120707984189,87,-0.663090112999952,0.5090259483552858
GSM (no. ind.),10 | 50 - 20 | 25,-1.7898448220347158,0.6246629445752916,87,-2.865296937457418,0.005222597864997872
GSM (no. ind.),10 | 50 - 20 | 40,-0.835505776792129,0.6060120707984186,87,-1.3786949419858145,0.17152354487216978
GSM (no. ind.),10 | 50 - 30 | 15,-0.5966562815181073,0.606012070798419,87,-0.9845617113401959,0.32756961380842686
GSM (no. ind.),10 | 50 - 30 | 30,-1.5148843450692602,0.6060120707984186,87,-2.4997593580494293,0.014304229241011187
GSM (no. ind.),10 | 50 - 45 | 0,-0.8909496855030843,0.6246629445752924,87,-1.4262886781428021,0.15736367993233405
GSM (no. ind.),10 | 50 - 60 | 0,-1.2080294891369894,0.6060120707984186,87,-1.9934082955565806,0.04934971450273935
GSM (no. ind.),20 | 25 - 20 | 40,0.9543390452425867,0.6246629445752916,87,1.5277663795015757,0.13019822520540883
GSM (no. ind.),20 | 25 - 30 | 15,1.1931885405166083,0.6246629445752919,87,1.9101317772704713,0.05941074206073947
GSM (no. ind.),20 | 25 - 30 | 30,0.2749604769654556,0.6246629445752916,87,0.4401741440776534,0.6609026393262101
GSM (no. ind.),20 | 25 - 45 | 0,0.8988951365316316,0.642772867113696,87,1.3984646560580967,0.16552814557704879
GSM (no. ind.),20 | 25 - 60 | 0,0.5818153328977265,0.6246629445752916,87,0.9314068297957113,0.35422063965197714
GSM (no. ind.),20 | 40 - 30 | 15,0.23884949527402166,0.6060120707984188,87,0.3941332306456178,0.6944470963024743
GSM (no. ind.),20 | 40 - 30 | 30,-0.6793785682771311,0.6060120707984187,87,-1.1210644160636145,0.2653453703050867
GSM (no. ind.),20 | 40 - 45 | 0,-0.0554439087109552,0.6246629445752924,87,-0.0887581201869617,0.9294781412184661
GSM (no. ind.),20 | 40 - 60 | 0,-0.37252371234486026,0.6060120707984186,87,-0.6147133535707658,0.5403484547034616
GSM (no. ind.),30 | 15 - 30 | 30,-0.9182280635511527,0.6060120707984189,87,-1.5151976467092318,0.1333472824283696
GSM (no. ind.),30 | 15 - 45 | 0,-0.29429340398497683,0.6246629445752927,87,-0.47112351795585766,0.6387317477833057
GSM (no. ind.),30 | 15 - 60 | 0,-0.6113732076188819,0.6060120707984189,87,-1.0088465842163832,0.31584585897852246
GSM (no. ind.),30 | 30 - 45 | 0,0.6239346595661759,0.6246629445752925,87,0.9988341152369591,0.32064509295591437
GSM (no. ind.),30 | 30 - 60 | 0,0.3068548559322708,0.6060120707984186,87,0.5063510624928489,0.6138910134709253
GSM (no. ind.),45 | 0 - 60 | 0,-0.3170798036339051,0.6246629445752923,87,-0.5076014295189022,0.6130173200537137
GSM biomass (g),Control - 10 | 35,0.1676731418158147,0.12740968047802823,87,1.3160157154991836,0.19162581312888105
GSM biomass (g),Control - 10 | 50,0.35151017361099035,0.12740968047802806,87,2.7588969087133743,0.00706936571972042
GSM biomass (g),Control - 20 | 25,-0.17965932179001104,0.13309173781771927,87,-1.3498908702812953,0.18055276355652566
GSM biomass (g),Control - 20 | 40,0.15131273882421642,0.1274096804780281,87,1.187607866659005,0.23822023849446253
GSM biomass (g),Control - 30 | 15,0.14501200599231412,0.12740968047802834,87,1.1381553226430177,0.25818021681433834
GSM biomass (g),Control - 30 | 30,-0.032227886998326974,0.12740968047802814,87,-0.2529469258333529,0.8009059425385818
GSM biomass (g),Control - 45 | 0,0.07268917274171141,0.13309173781771969,87,0.5461584162441799,0.5863549085387267
GSM biomass (g),Control - 60 | 0,-0.15686721140715185,0.12740968047802811,87,-1.2312032399626314,0.2215647950906405
GSM biomass (g),10 | 35 - 10 | 50,0.1838370317951757,0.15389263768367129,87,1.1945797704309649,0.23549785989066646
GSM biomass (g),10 | 35 - 20 | 25,-0.34733246360582576,0.1586289000436713,87,-2.1895913261089466,0.031230500315962206
GSM biomass (g),10 | 35 - 20 | 40,-0.01636040299159829,0.15389263768367129,87,-0.10631049826585826,0.9155807539498836
GSM biomass (g),10 | 35 - 30 | 15,-0.022661135823500565,0.1538926376836714,87,-0.1472528911362275,0.8832731283024979
GSM biomass (g),10 | 35 - 30 | 30,-0.19990102881414168,0.1538926376836713,87,-1.2989642118230589,0.19738834714701595
GSM biomass (g),10 | 35 - 45 | 0,-0.0949839690741033,0.1586289000436715,87,-0.5987809853560961,0.5508748643791104
