contrast,estimate,SE,df,t.ratio,p.value
"2 - 5 mm,Control - 8 - 10 mm,Control",-15.555555555555399,6.564024661218637,90,-2.3698197917293395,0.5430840913322985
"2 - 5 mm,Control - 12 - 15 mm,Control",-15.555555555555413,6.564024661218622,90,-2.369819791729347,0.5430840913322929
"2 - 5 mm,Control - 2 - 5 mm,1 %",-3.888888888888731,6.5640246612186255,90,-0.5924549479323179,0.9999992237543252
"2 - 5 mm,Control - 8 - 10 mm,1 %",-4.444444444444286,6.564024661218618,90,-0.6770913690655102,0.9999956997212784
"2 - 5 mm,Control - 12 - 15 mm,1 %",0.5555555555557188,6.5640246612186255,90,0.08463642113321657,1
"2 - 5 mm,Control - 2 - 5 mm,2 %",4.444444444444565,6.564024661218642,90,0.6770913690655502,0.9999956997212784
"2 - 5 mm,Control - 8 - 10 mm,2 %",1.2012613126444194e-13,6.564024661218634,90,1.8300682502637047e-14,1
"2 - 5 mm,Control - 12 - 15 mm,2 %",3.888888888889033,6.564024661218626,90,0.5924549479323638,0.9999992237543252
"2 - 5 mm,Control - 2 - 5 mm,4 %",11.6666666666668,6.564024661218634,90,1.7773648437970435,0.9008266716843291
"2 - 5 mm,Control - 8 - 10 mm,4 %",18.333333333333464,6.564024661218634,90,2.7930018973953423,0.2697678850054006
"2 - 5 mm,Control - 12 - 15 mm,4 %",21.666666666666828,6.564024661218627,90,3.3008204241945,0.08329684703093188
"2 - 5 mm,Control - 2 - 5 mm,8 %",15.000000000000183,6.564024661218629,90,2.2851833705962026,0.6038048293678064
"2 - 5 mm,Control - 8 - 10 mm,8 %",35.555555555555735,6.564024661218627,90,5.416730952524294,4.9207841467557856e-5
"2 - 5 mm,Control - 12 - 15 mm,8 %",32.22222222222242,6.564024661218613,90,4.908912425725158,3.812352445113909e-4
"8 - 10 mm,Control - 12 - 15 mm,Control",-1.4432899320127035e-14,6.564024661218634,90,-2.1987881010562074e-15,1
"8 - 10 mm,Control - 2 - 5 mm,1 %",11.666666666666668,6.564024661218633,90,1.777364843797024,0.9008266716843367
"8 - 10 mm,Control - 8 - 10 mm,1 %",11.111111111111114,6.56402466121863,90,1.6927284226638333,0.92989622875406
"8 - 10 mm,Control - 12 - 15 mm,1 %",16.111111111111118,6.56402466121863,90,2.4544562128625587,0.4828530695264871
"8 - 10 mm,Control - 2 - 5 mm,2 %",19.999999999999964,6.564024661218636,90,3.046911160794891,0.15627632475197784
"8 - 10 mm,Control - 8 - 10 mm,2 %",15.55555555555552,6.564024661218625,90,2.3698197917293626,0.5430840913322819
