taxa,contrast,estimate,SE,df,t.ratio,p.value
Perna,Controls - 15 | 45_2 %,11.418736067123518,7.034169687580977,21,1.6233239421681305,0.11943720497645559
Perna,Controls - 15 | 45_4 %,15.93346889504689,7.034169687580972,21,2.265152761835968,0.03420252620660952
Perna,Controls - 30 | 30_2 %,15.979707738061558,7.0341696875809765,21,2.271726223249089,0.03373741572643818
Perna,Controls - 30 | 30_4 %,-3.0139984123672536,7.034169687580971,21,-0.42847962819102225,0.6726648565129251
Perna,Controls - 45 | 15_2 %,-8.142412501728655,7.034169687580975,21,-1.1575513334721388,0.2600440567483863
Perna,Controls - 45 | 15_4 %,2.955384500323667,7.034169687580973,21,0.4201468874914238,0.6786458865056186
Perna,Controls - 60 | 0_2 %,-1.4224636204993502,7.034169687580973,21,-0.20222196558760164,0.8416894467612692
Perna,Controls - 60 | 0_4 %,18.9332722047839,7.034169687580975,21,2.6916143689583047,0.013661409914739532
Perna,15 | 45_2 % - 15 | 45_4 %,4.514732827923371,8.122359525300762,21,0.5558400627133278,0.5841943273089758
Perna,15 | 45_2 % - 30 | 30_2 %,4.56097167093804,8.122359525300766,21,0.5615328472878883,0.5803782875606662
Perna,15 | 45_2 % - 30 | 30_4 %,-14.432734479490772,8.122359525300762,21,-1.7769140155066385,0.09007181602302668
Perna,15 | 45_2 % - 45 | 15_2 %,-19.561148568852175,8.122359525300764,21,-2.4083086334605266,0.02529686617163889
Perna,15 | 45_2 % - 45 | 15_4 %,-8.463351566799851,8.122359525300764,21,-1.0419818946005668,0.30926803581258894
Perna,15 | 45_2 % - 60 | 0_2 %,-12.841199687622868,8.122359525300764,21,-1.5809691318911876,0.12883041523321478
Perna,15 | 45_2 % - 60 | 0_4 %,7.514536137660382,8.122359525300764,21,0.9251666482200104,0.36538941631953603
Perna,15 | 45_4 % - 30 | 30_2 %,0.04623884301466852,8.122359525300762,21,0.00569278457456072,0.9955115733747608
Perna,15 | 45_4 % - 30 | 30_4 %,-18.947467307414144,8.12235952530076,21,-2.332754078219967,0.029688311633455682
Perna,15 | 45_4 % - 45 | 15_2 %,-24.075881396775543,8.12235952530076,21,-2.9641486961738552,0.007403348643565783
Perna,15 | 45_4 % - 45 | 15_4 %,-12.978084394723222,8.12235952530076,21,-1.5978219573138952,0.12502151868968847
Perna,15 | 45_4 % - 60 | 0_2 %,-17.35593251554624,8.12235952530076,21,-2.1368091946045165,0.04454035328280084
Perna,15 | 45_4 % - 60 | 0_4 %,2.999803309737011,8.122359525300762,21,0.36932658550668274,0.715582193755522
Perna,30 | 30_2 % - 30 | 30_4 %,-18.99370615042881,8.122359525300762,21,-2.3384468627945267,0.029334379500698036
Perna,30 | 30_2 % - 45 | 15_2 %,-24.122120239790213,8.122359525300764,21,-2.969841480748415,0.007307928061767511
